path,archive_kind,bytes,sha256,parse_status,parse_error,nbformat,kernel_name,kernel_display_name,cells,code_cells,executed_code_cells,code_cells_with_outputs
artifacts/raw/orange_diff/notebooks/DecisionBoundary.ipynb,raw,1685458,180f956fafb010266654246e4ea6b0496ae029c0b54e7aab2126693224a17467,valid-json,,4,difflogic_env,ExpLogic,26,16,16,12
artifacts/raw/orange_diff/notebooks/DiffLogicTrainer.ipynb,raw,2320514,ca6da5ccf66598fb5736c6e58a9dce6c6601acfdad7b8ed589fc58a3998de046,valid-json,,4,deep-learning,SalgadoDeepLearning,97,67,62,38
artifacts/raw/orange_diff/notebooks/MiniNets.ipynb,raw,1147396,49f52addffb73c5dbb4377dbfcc54c3ea508d1e2080bc73c148e0a714bfec325,valid-json,,4,explogic_env,EXPLOGIC,66,46,42,19
artifacts/raw/orange_diff/notebooks/config/csv_to_yaml_mnist.ipynb,raw,3652,db06a73a69f552f225441b9063a2ad4a81a45abd6813e49241654c7aca041408,valid-json,,4,difflogic_env,DIFFLOGIC,2,2,2,1
artifacts/raw/orange_diff/notebooks/tests/BinaryVsContinuous.ipynb,raw,1586538,b58dd83b73291f06de3acf9171a44c5c0a4778e157c360472e03ba12e2438c5d,valid-json,,4,difflogic_env,DIFFLOGIC,45,32,32,18
artifacts/raw/orange_diff/notebooks/tests/DiffLogicSwitchingProbability.ipynb,raw,1155354,5e5fc93ed3a79d79b8900c57ea65c790a5a2146c37e5a6b1022e2ef092f3376a,valid-json,,4,difflogic_env,ExpLogic,37,26,25,16
artifacts/raw/orange_eco/notebooks/Main.ipynb,raw,689813,65f89f95c8b17d4216baa5f36d8a25e032ee5aadf15b48ed3cb85dec1c1785d0,valid-json,,4,difflogic_env,ExpLogic,41,23,23,10
artifacts/raw/orange_exp/notebooks/Analysis.ipynb,raw,341325,f67b3854da2ee1b4a282ee7a264d46c496463347a4aca5d476cae5b64369b157,valid-json,,4,difflogic_env,ExpLogic,23,22,19,15
artifacts/raw/orange_exp/notebooks/DecisionBoundary_wormald.ipynb,raw,1700400,7e1daa5df9de3486fe0f91eb295fc2ef7ad0a76b730a5bef3076aae7ecd1a0fa,valid-json,,4,difflogic_env,ExpLogic,58,48,21,16
artifacts/raw/orange_exp/notebooks/DiffLogicSwitchingProbability_wormald.ipynb,raw,1310054,2b87fa34b13dd1f88b7700374d16840bf4b31f40dbfdd3e4ff1d98c2ca42467c,valid-json,,4,difflogic,DIFFLOGIC,171,143,26,20
