model,class,threshold,tp,tn,fp,fn
000,0,140.83183183183183,873,7809,219,19
000,1,140.55255255255256,868,7923,105,24
000,2,140.76776776776777,832,7540,488,60
000,3,140.33633633633633,848,7568,460,44
000,4,141.8148148148148,846,7656,372,46
000,5,142.6826826826827,821,7556,472,71
000,6,140.85185185185185,861,7756,272,31
000,7,141.71771771771773,836,7721,307,56
000,8,139.16716716716718,796,7335,693,96
000,9,142.81081081081084,831,7397,631,61
001,0,135.27027027027026,869,7825,203,23
001,1,139.1141141141141,870,7926,102,22
001,2,138.96496496496496,835,7542,486,57
001,3,136.55555555555554,850,7479,549,42
001,4,138.45545545545545,850,7533,495,42
001,5,137.3103103103103,817,7484,544,75
001,6,137.87687687687688,861,7745,283,31
001,7,140.79779779779778,832,7759,269,60
001,8,136.34334334334335,809,7285,743,83
001,9,139.81181181181182,822,7343,685,70
002,0,139.8858858858859,868,7754,274,24
002,1,140.86186186186185,869,7921,107,23
002,2,141.05205205205203,831,7556,472,61
002,3,141.72272272272272,856,7546,482,36
002,4,139.05405405405406,846,7639,389,46
002,5,141.5285285285285,816,7456,572,76
002,6,142.6216216216216,861,7768,260,31
002,7,142.66666666666666,841,7731,297,51
002,8,142.20420420420422,799,7179,849,93
002,9,143.16016016016016,822,7417,611,70
003,0,138.6096096096096,863,7807,221,29
003,1,141.13913913913916,870,7935,93,22
003,2,141.56356356356355,832,7617,411,60
003,3,139.92792792792793,846,7522,506,46
003,4,139.13113113113113,843,7642,386,49
003,5,138.25325325325326,821,7514,514,71
003,6,139.11511511511512,862,7762,266,30
003,7,139.66866866866866,832,7720,308,60
003,8,137.8858858858859,808,7222,806,84
003,9,140.6936936936937,818,7314,714,74
