class,runs,accuracy,accuracy_std,precision,precision_std,recall,recall_std,historical_recall_formula,historical_recall_formula_std,f1,f1_std
0,4,0.9716367713004485,0.0030640471678736567,0.7915700979006939,0.018964114747440617,0.9733744394618834,0.00399321940828897,0.11099527982394906,0.0006031267301503595,0.8729853699154584,0.01196563914090949
1,4,0.986042600896861,0.0006656021349236443,0.8952359257666471,0.005018191225954689,0.9744955156950673,0.0009295473067139642,0.1093533828427346,8.685138108975281e-05,0.9331799342823673,0.0030240672134737774
2,4,0.9412836322869955,0.0034675297465174126,0.6423768237523931,0.015813291872768708,0.9332959641255605,0.0016816143497757803,0.10920757530539393,0.0005547322157268767,0.7608646547026694,0.010836541221340831
3,4,0.9393217488789238,0.0037680296131582915,0.6303488413636382,0.015421466970398713,0.952914798206278,0.004194683169029095,0.11227634361598005,0.0006961843538636148,0.7586667092121417,0.011511247879563053
4,4,0.9488508968609866,0.005284168178502256,0.6743738247447735,0.024764617551874642,0.9487107623318385,0.002788641920141862,0.11043650863141474,0.0010383583196258035,0.7880591886014935,0.016460975394471267
5,4,0.9328755605381166,0.004389679175668511,0.6095322229543141,0.01753280316963731,0.9178811659192825,0.0025533726398947265,0.1080761706537528,0.0002655935372822548,0.7324617190944809,0.013373730525802636
6,4,0.966255605381166,0.0009676388173560389,0.7612000985375948,0.005727440753964446,0.9655269058295963,0.00048544024875811883,0.11057981449047606,0.00011855857422931903,0.8512628476660242,0.0036468576533045384
7,4,0.9605381165919282,0.001702043324068277,0.7389814025347452,0.010246074835477865,0.9363789237668162,0.004147603303517014,0.10722867796566621,0.0006197958099568179,0.8260032289464041,0.006241636367405437
8,4,0.9033912556053811,0.0065869191601080485,0.510324883373342,0.019055615204414997,0.9002242152466368,0.006292024753543612,0.10934636939184157,0.0013230132901250469,0.651160574996632,0.015396148427311311
9,4,0.9182735426008969,0.0049600497322038,0.5553545823777233,0.016281464665817463,0.9229260089686099,0.00533984273633902,0.11070516123323684,0.0005887878400872357,0.6933330217635278,0.013735046034695325
